"name","worth"
"🇺🇸1. Elon Musk","214.0"
"🇫🇷2. Bernard Arnault","189.0"
"🇺🇸3. Jeff Bezos","148.0"
"🇺🇸4. Bill Gates","128.0"
"🇺🇸5. Larry Ellison","121.0"
"🇺🇸6. Warren Buffet","118.0"
"🇺🇸7. Steve Ballmer","113.0"
"🇺🇸8. Larry Page","111.0"
"🇺🇸9. Sergey Brin","105.0"
"🇺🇸10. Mark Zuckerberg","96.5"
"🇲🇽11. Carlos Slim","95.6"
"🇫🇷12. Francoise Meyers","87.0"
"🇮🇳13. Mukesh Ambani","85.9"
"🇪🇸14. Amancio Ortega","72.8"
"🇺🇸15. Jim Walton","69.3"
"🇺🇸16. Rob Walton","67.4"
"🇺🇸17. Alice Walton","66.4"
"🇮🇳 18. Gautam Adani","62.0"
"🇨🇳 19. Zhong Shanshan","61.6"
"🇺🇸20. Charles Koch","61.2"
"🇺🇸21. Julia Flesher Koch","61.2"
"🇺🇸22. John Mars","59.8"
